dataset_size,metric,mean,min,max,std
Small,fitness,-299929.1151977793,-299929.54545454547,-299929.0076335878,0.2405208442100364
Small,execution_time,0.32448434829711914,0.32280850410461426,0.3277723789215088,0.0019375952137859938
Medium,fitness,-1399938.8981867523,-1399940.7894736843,-1399937.1508379888,1.4322439918696699
Medium,execution_time,0.7229468822479248,0.6994516849517822,0.7384085655212402,0.01663354971113559
Large,fitness,-4905931.129343709,-4909935.483870967,-4899932.394366197,5474.981990311442
Large,execution_time,1.155606985092163,1.1293010711669922,1.18446946144104,0.0234199479901649
